,famme ,flame x2,Wasser0,Wasser1,Volt,waterpump,Fan_speed,Fuelpump/10,GLOW
79,"3,82","1,91","12,2","12,2","14,0",50,70,0,0
80,"3,82","1,91","12,2","12,2","13,9",50,70,0,0
81,"2,79","1,40","12,2","12,2","14,1",50,70,0,0
82,"2,79","1,40","13,7","11,9","14,0",50,70,0,0
83,"2,79","1,40","12,2","12,2","14,1",50,70,0,0
84,"3,82","1,91","12,2","14,1","14,0",50,70,0,0
85,"2,79","1,40","12,2","14,1","13,9",50,70,0,0
86,"3,82","1,91","12,6","12,6","13,9",50,70,0,0
87,"2,79","1,40","13,0","12,6","13,9",50,70,0,0
88,"2,79","1,40","13,0","12,6","14,2",50,70,0,0
89,"2,79","1,40","13,0","13,0","13,9",50,70,0,0
90,"1,76","0,88","13,0","13,0","14,0",50,70,0,0
91,"2,79","1,40","13,0","13,0","14,0",50,70,0,0
92,"1,76","0,88","13,0","13,0","13,9",50,70,0,0
93,"3,82","1,91","13,4","12,6","14,0",50,70,0,0
94,"2,79","1,40","13,4","13,4","14,0",50,70,0,0
95,"3,82","1,91","13,7","13,4","14,0",50,70,0,0
96,"4,85","2,43","13,4","13,7","14,0",50,70,0,0
97,"2,79","1,40","12,6","13,4","14,0",50,70,0,0
98,"3,82","1,91","13,7","13,7","14,1",50,70,0,0
99,"3,82","1,91","13,7","13,0","13,9",50,70,0,0
100,"3,82","1,91","13,7","13,7","14,1",50,70,0,0
101,"3,82","1,91","11,1","13,7","14,1",50,70,0,0
102,"4,85","2,43","13,4","13,7","14,0",50,70,0,0
103,"3,82","1,91","13,7","13,7","14,1",50,70,0,0
104,"3,82","1,91","14,1","13,7","13,9",50,70,0,0
105,"3,82","1,91","13,7","13,7","14,0",50,70,0,0
106,"3,82","1,91","14,4","14,1","14,1",50,70,0,0
107,"3,82","1,91","13,7","14,1","13,9",50,70,0,0
108,"3,82","1,91","14,1","14,1","14,0",50,70,0,0
109,"4,85","2,43","14,1","14,1","14,0",50,70,0,0
110,"3,82","1,91","14,8","13,4","13,9",50,70,0,0
111,"3,82","1,91","14,4","14,4","14,0",50,70,0,0
112,"3,82","1,91","14,4","14,4","14,1",50,70,0,0
113,"3,82","1,91","14,4","14,4","14,0",50,70,0,0
114,"3,82","1,91","14,1","14,1","14,0",50,70,0,0
115,"3,82","1,91","14,1","14,1","14,1",50,70,0,0
116,"3,82","1,91","15,4","15,8","13,8",50,70,0,0
117,"3,82","1,91","14,8","14,4","13,9",50,70,0,0
118,"3,82","1,91","14,8","14,8","13,9",50,70,0,0
119,"3,82","1,91","14,8","14,8","13,9",50,70,0,0
120,"3,82","1,91","15,8","14,4","13,9",50,70,0,0
121,"4,85","2,43","15,1","14,8","14,0",50,70,0,0
122,"4,85","2,43","14,8","14,8","14,0",50,70,0,0
123,"4,85","2,43","15,1","14,8","13,9",50,70,0,0
124,"4,85","2,43","16,1","14,8","13,9",50,70,0,0
125,"6,93","3,47","15,1","14,8","13,9",50,70,0,0
126,"5,89","2,95","15,1","14,8","13,9",50,70,0,0
127,"4,85","2,43","15,1","14,8","14,0",50,70,0,0
128,"5,89","2,95","15,4","14,8","13,9",50,70,0,0
129,"3,82","1,91","15,4","15,4","14,0",50,70,0,0
130,"5,89","2,95","15,4","15,8","13,9",50,70,0,0
131,"4,85","2,43","15,1","16,7","13,9",50,70,0,0
132,"5,89","2,95","15,4","14,8","13,9",50,70,0,0
133,"6,93","3,47","15,8","16,4","13,9",50,70,0,0
134,"4,85","2,43","15,8","15,4","13,9",50,70,0,0
135,"6,93","3,47","15,8","14,8","14,0",50,70,0,0
136,"4,85","2,43","15,8","15,8","14,0",50,70,0,0
137,"4,85","2,43","15,8","15,8","13,9",50,70,0,0
138,"5,89","2,95","15,8","16,1","13,8",50,70,0,0
139,"3,82","1,91","16,1","15,8","13,8",50,70,0,0
140,"5,89","2,95","16,1","15,8","13,8",50,70,0,0
141,"4,85","2,43","15,8","16,1","13,9",50,70,0,0
142,"4,85","2,43","15,4","16,1","14,0",50,70,0,0
143,"5,89","2,95","16,7","15,4","14,1",50,70,0,0
144,"4,85","2,43","15,1","16,1","14,1",50,70,0,0
145,"5,89","2,95","17,1","15,4","14,0",50,70,0,0
146,"5,89","2,95","16,7","16,1","13,9",50,70,0,0
147,"5,89","2,95","16,1","16,4","13,9",50,70,0,0
148,"4,85","2,43","16,1","16,4","13,8",50,70,0,0
149,"5,89","2,95","16,4","16,4","14,0",50,70,0,0
150,"5,89","2,95","16,7","16,4","14,1",50,70,0,0
151,"5,89","2,95","16,1","16,4","14,0",50,70,0,0
152,"6,93","3,47","16,4","16,4","13,9",50,70,0,0
153,"5,89","2,95","16,7","16,7","14,0",0,0,0,0
154,"5,89","2,95","16,7","16,7","14,0",0,0,0,0
155,"5,89","2,95","16,7","16,7","14,0",0,0,0,0
156,"5,89","2,95","16,7","16,7","14,0",0,0,0,0
157,"5,89","2,95","16,7","16,7","13,9",0,0,0,0
158,"5,89","2,95","17,1","16,7","13,9",0,0,0,0
159,"5,89","2,95","17,1","16,7","13,9",0,0,0,0
160,"5,89","2,95","17,1","17,1","13,9",0,0,0,0
161,"5,89","2,95","17,1","17,1","13,9",0,0,0,0
162,"5,89","2,95","17,1","17,1","13,9",0,0,0,0
163,"5,89","2,95","17,1","17,1","14,0",0,0,0,0
164,"5,89","2,95","17,1","17,1","13,9",0,0,0,0
165,"5,89","2,95","17,1","17,1","14,0",0,0,0,0
166,"5,89","2,95","17,1","17,1","14,0",0,0,0,0
167,"5,89","2,95","17,1","17,1","14,0",0,0,0,0
168,"5,89","2,95","17,1","17,1","14,0",0,0,0,0
169,"5,89","2,95","17,4","17,4","14,1",0,0,0,0
170,"5,89","2,95","17,4","17,4","14,0",0,0,0,0
171,"5,89","2,95","17,4","17,1","14,0",0,0,0,0
172,"5,89","2,95","17,4","17,4","14,0",0,0,0,0
173,"5,89","2,95","17,4","17,4","14,0",0,0,0,0
174,"5,89","2,95","17,4","17,4","14,1",0,0,0,0
175,"5,89","2,95","17,4","17,4","14,1",0,0,0,0
176,"5,89","2,95","17,4","17,4","14,0",0,0,0,0
177,"5,89","2,95","17,4","17,4","14,0",0,0,0,0
178,"5,89","2,95","17,7","17,4","14,0",0,0,0,0
179,"5,89","2,95","17,7","17,4","14,0",0,0,0,0
180,"5,89","2,95","17,7","17,7","14,0",0,0,0,0
181,"5,89","2,95","17,7","17,7","14,0",0,0,0,0
182,"5,89","2,95","17,7","17,7","14,0",0,0,0,0
183,"5,89","2,95","17,7","17,7","14,0",0,0,0,0
184,"5,89","2,95","17,7","17,7","14,0",0,0,0,0
185,"5,89","2,95","18,0","17,7","14,0",0,0,0,0
186,"5,89","2,95","18,0","17,7","14,0",0,0,0,0
187,"5,89","2,95","18,0","18,0","14,0",0,0,0,0
188,"5,89","2,95","18,0","18,0","14,0",0,0,0,0
189,"5,89","2,95","18,0","18,0","14,0",0,0,0,0
190,"5,89","2,95","18,0","18,0","14,0",0,0,0,0
191,"5,89","2,95","18,0","18,0","14,0",0,0,0,0
192,"6,93","3,47","18,3","18,0","14,0",0,0,0,0
193,"5,89","2,95","18,3","18,0","13,9",0,0,0,0
194,"5,89","2,95","18,3","18,0","14,0",0,0,0,0
195,"6,93","3,47","18,3","18,0","13,9",0,0,0,0
196,"5,89","2,95","18,3","18,3","13,9",0,0,0,0
197,"5,89","2,95","18,3","18,3","13,9",0,0,0,0
198,"5,89","2,95","18,3","18,3","13,9",0,0,0,0
199,"5,89","2,95","18,3","18,3","13,9",0,0,0,0
200,"6,93","3,47","18,6","18,6","13,9",0,0,0,0
201,"6,93","3,47","18,6","18,3","14,0",0,0,0,0
202,"5,89","2,95","18,6","18,6","14,0",0,0,0,0
203,"6,93","3,47","18,6","18,6","13,9",0,0,0,0
204,"6,93","3,47","18,6","18,6","13,9",0,0,0,0
205,"6,93","3,47","18,6","18,6","14,0",0,0,0,0
206,"5,89","2,95","18,6","18,9","14,0",0,0,0,0
207,"5,89","2,95","18,9","18,9","14,0",0,0,0,0
208,"6,93","3,47","18,9","18,9","13,9",0,0,0,0
209,"6,93","3,47","18,9","18,9","13,9",0,0,0,0
210,"6,93","3,47","18,9","18,9","14,0",0,0,0,0
211,"6,93","3,47","18,9","18,9","14,1",0,0,0,0
212,"6,93","3,47","18,9","18,9","14,0",0,0,0,0
213,"6,93","3,47","19,2","19,2","13,9",0,0,0,0
214,"6,93","3,47","19,2","18,9","13,9",0,0,0,0
215,"5,89","2,95","19,2","19,2","14,0",0,0,0,0
216,"6,93","3,47","19,2","19,2","14,0",0,0,0,0
217,"6,93","3,47","19,2","19,2","13,9",0,0,0,0
218,"6,93","3,47","19,2","19,5","13,9",0,0,0,0
219,"6,93","3,47","19,5","19,2","13,9",0,0,0,0
220,"6,93","3,47","19,5","19,5","14,0",0,0,0,0
221,"6,93","3,47","19,5","19,5","14,0",0,0,0,0
222,"6,93","3,47","19,5","19,5","14,0",0,0,0,0
223,"6,93","3,47","19,5","19,5","13,9",0,0,0,0
224,"6,93","3,47","19,5","19,5","14,0",0,0,0,0
225,"6,93","3,47","19,5","19,5","14,0",0,0,0,0
226,"6,93","3,47","19,5","19,5","14,0",0,0,0,0
227,"6,93","3,47","19,7","19,7","13,9",0,0,0,0
228,"6,93","3,47","19,7","19,7","14,0",0,0,0,0
229,"6,93","3,47","19,7","19,7","14,0",0,0,0,0
230,"6,93","3,47","19,7","19,7","13,9",0,0,0,0
231,"6,93","3,47","19,7","19,7","14,0",0,0,0,0
232,"6,93","3,47","19,7","19,7","14,0",0,0,0,0
233,"6,93","3,47","20,0","20,0","13,9",0,0,0,0
234,"6,93","3,47","20,0","20,0","14,1",0,0,0,0
235,"6,93","3,47","20,0","20,0","14,0",0,0,0,0
236,"6,93","3,47","20,0","20,0","13,9",0,0,0,0
237,"6,93","3,47","20,0","20,0","14,0",0,0,0,0
238,"7,97","3,99","20,0","20,0","13,9",0,0,0,0
239,"7,97","3,99","20,3","20,3","14,0",0,0,0,0
240,"6,93","3,47","20,3","20,3","14,0",0,0,0,0
241,"7,97","3,99","20,3","20,3","13,9",0,0,0,0
242,"7,97","3,99","20,3","20,3","14,1",0,0,0,0
243,"7,97","3,99","20,3","20,3","14,0",0,0,0,0
244,"7,97","3,99","20,3","20,3","14,0",0,0,0,0
245,"7,97","3,99","20,6","20,3","14,0",0,0,0,0
246,"6,93","3,47","20,6","20,6","13,9",0,0,0,0
247,"7,97","3,99","20,6","20,6","13,9",0,0,0,0
248,"7,97","3,99","20,6","20,6","14,0",0,0,0,0
249,"7,97","3,99","20,6","20,6","14,0",0,0,0,0
250,"7,97","3,99","20,6","20,6","14,0",0,0,0,0
251,"7,97","3,99","20,9","20,6","14,1",0,0,0,0
252,"7,97","3,99","20,9","20,9","13,9",0,0,0,0
253,"7,97","3,99","20,9","20,9","14,1",0,0,0,0
254,"7,97","3,99","20,9","20,9","13,9",0,0,0,0
255,"7,97","3,99","20,9","20,9","14,0",0,0,0,0
256,"7,97","3,99","20,9","20,9","13,9",0,0,0,0
257,"7,97","3,99","20,9","20,9","14,0",0,0,0,0
258,"7,97","3,99","21,1","20,9","13,9",0,0,0,0
259,"7,97","3,99","21,1","21,1","14,0",0,0,0,0
260,"7,97","3,99","21,1","21,1","13,9",0,0,0,0
261,"7,97","3,99","21,1","21,1","14,0",0,0,0,0
262,"7,97","3,99","21,1","21,1","13,9",0,0,0,0
263,"7,97","3,99","21,1","21,1","14,0",0,0,0,0
264,"7,97","3,99","21,1","21,1","13,9",0,0,0,0
265,"7,97","3,99","21,4","21,1","14,0",0,0,0,0
266,"7,97","3,99","21,4","21,1","13,9",0,0,0,0
267,"7,97","3,99","21,4","21,4","14,1",0,0,0,0
268,"9,02","4,51","21,4","21,4","13,9",0,0,0,0
269,"9,02","4,51","21,4","21,4","14,0",0,0,0,0
270,"7,97","3,99","21,4","21,4","13,9",0,0,0,0
271,"9,02","4,51","21,4","21,4","14,0",0,0,0,0
272,"9,02","4,51","21,7","21,4","13,9",0,0,0,0
273,"7,97","3,99","21,7","21,7","14,0",0,0,0,0
274,"7,97","3,99","21,7","21,7","13,9",0,0,0,0
275,"9,02","4,51","21,7","21,7","14,1",0,0,0,0
276,"9,02","4,51","21,7","21,7","13,9",0,0,0,0
277,"9,02","4,51","21,7","21,7","14,1",0,0,0,0
278,"9,02","4,51","21,7","21,7","13,9",0,0,0,0
279,"9,02","4,51","21,9","21,7","14,0",0,0,0,0
280,"9,02","4,51","21,9","21,7","13,9",0,0,0,0
281,"9,02","4,51","21,9","21,9","14,0",0,0,0,0
282,"9,02","4,51","21,9","21,9","13,9",0,0,0,0
283,"9,02","4,51","21,9","21,9","14,0",0,0,0,0
284,"9,02","4,51","21,9","21,9","14,0",0,0,0,0
285,"9,02","4,51","21,9","21,9","14,0",0,0,0,0
286,"9,02","4,51","22,2","21,9","14,0",0,0,0,0
287,"9,02","4,51","22,2","22,2","14,1",0,0,0,0
288,"9,02","4,51","22,2","22,2","13,9",0,0,0,0
289,"9,02","4,51","22,2","22,2","14,0",0,0,0,0
290,"9,02","4,51","22,2","22,2","13,9",0,0,0,0
291,"10,08","5,04","22,2","22,2","14,1",0,0,0,0
292,"9,02","4,51","22,4","22,4","13,9",0,0,0,0
293,"9,02","4,51","22,4","22,2","13,9",0,0,0,0
294,"10,08","5,04","22,4","22,4","14,0",0,0,0,0
295,"9,02","4,51","22,4","22,4","14,0",0,0,0,0
296,"9,02","4,51","22,4","22,4","13,9",0,0,0,0
297,"10,08","5,04","22,4","22,4","14,0",0,0,0,0
298,"10,08","5,04","22,4","22,4","14,0",0,0,0,0
299,"10,08","5,04","22,7","22,7","13,8",0,0,0,0
300,"10,08","5,04","22,7","22,7","14,0",0,0,0,0
301,"10,08","5,04","22,7","22,7","14,0",0,0,0,0
302,"9,02","4,51","22,7","22,7","13,9",0,0,0,0
303,"10,08","5,04","22,7","22,7","14,0",0,0,0,0
304,"10,08","5,04","22,7","22,7","14,0",0,0,0,0
305,"10,08","5,04","22,7","22,7","13,9",0,0,0,0
306,"10,08","5,04","22,9","22,7","14,0",0,0,0,0
307,"10,08","5,04","22,9","22,9","14,0",0,0,0,0
308,"10,08","5,04","22,9","22,9","13,8",0,0,0,0
309,"10,08","5,04","22,9","22,9","14,0",0,0,0,0
310,"10,08","5,04","23,2","22,9","14,0",0,0,0,0
311,"10,08","5,04","22,9","22,9","13,8",0,0,0,0
312,"10,08","5,04","22,9","22,9","14,0",0,0,0,0
313,"10,08","5,04","22,9","22,9","14,0",0,0,0,0
314,"10,08","5,04","23,2","23,2","13,8",0,0,0,0
315,"10,08","5,04","23,2","23,2","14,0",0,0,0,0
316,"10,08","5,04","23,2","23,2","14,0",0,0,0,0
317,"10,08","5,04","23,2","23,2","13,9",0,0,0,0
318,"10,08","5,04","23,2","23,2","13,9",0,0,0,0
319,"10,08","5,04","23,2","23,2","14,1",0,0,0,0
320,"11,13","5,57","23,5","23,2","13,9",0,0,0,0
321,"10,08","5,04","23,5","23,5","14,0",0,0,0,0
322,"10,08","5,04","23,5","23,5","14,0",0,0,0,0
323,"11,13","5,57","23,5","23,5","13,9",0,0,0,0
324,"11,13","5,57","23,5","23,5","13,9",0,0,0,0
325,"11,13","5,57","23,5","23,5","14,0",0,0,0,0
326,"10,08","5,04","23,5","23,5","13,9",0,0,0,0
327,"11,13","5,57","23,7","23,5","13,9",0,0,0,0
328,"11,13","5,57","23,7","23,7","13,9",0,0,0,0
329,"11,13","5,57","23,7","23,7","14,0",0,0,0,0
330,"11,13","5,57","23,7","23,7","13,9",0,0,0,0
331,"11,13","5,57","23,7","23,7","13,9",0,0,0,0
332,"11,13","5,57","23,7","23,7","14,0",0,0,0,0
333,"11,13","5,57","23,9","23,7","14,0",0,0,0,0
334,"11,13","5,57","23,9","23,9","13,9",0,0,0,0
335,"11,13","5,57","23,9","23,9","13,9",0,0,0,0
336,"11,13","5,57","23,9","23,9","14,0",0,0,0,0
337,"11,13","5,57","23,9","23,9","13,9",0,0,0,0
338,"11,13","5,57","23,9","23,9","13,9",0,0,0,0
339,"11,13","5,57","24,2","23,9","14,0",0,0,0,0
340,"11,13","5,57","24,2","24,2","13,9",0,0,0,0
341,"11,13","5,57","24,2","24,2","13,9",0,0,0,0
342,"11,13","5,57","24,2","24,2","14,0",0,0,0,0
343,"11,13","5,57","24,2","24,2","13,9",0,0,0,0
344,"11,13","5,57","24,4","24,2","13,9",0,0,0,0
345,"11,13","5,57","24,4","24,2","14,0",0,0,0,0
346,"11,13","5,57","24,4","24,4","13,8",0,0,0,0
347,"11,13","5,57","24,4","24,4","14,0",0,0,0,0
348,"12,19","6,10","24,4","24,4","14,0",0,0,0,0
349,"11,13","5,57","24,4","24,4","13,9",0,0,0,0
350,"11,13","5,57","24,4","24,4","13,9",0,0,0,0
351,"11,13","5,57","24,4","24,4","14,0",0,0,0,0
352,"11,13","5,57","24,7","24,7","13,9",0,0,0,0
353,"11,13","5,57","24,7","24,7","13,8",50,0,0,0
354,"12,19","6,10","24,7","24,7","14,0",50,0,0,0
355,"12,19","6,10","24,7","24,7","14,0",50,0,0,0
356,"12,19","6,10","24,7","24,7","13,8",50,0,0,0
357,"12,19","6,10","24,7","24,7","13,9",50,0,0,0
358,"12,19","6,10","24,9","24,9","14,0",50,0,0,0
359,"12,19","6,10","24,9","24,9","13,8",50,0,0,0
360,"12,19","6,10","24,9","24,9","14,0",50,0,0,0
361,"12,19","6,10","24,9","24,9","13,9",50,0,0,0
362,"12,19","6,10","25,1","24,9","13,8",50,0,0,0
363,"12,19","6,10","25,1","25,1","13,9",50,0,0,0
364,"11,13","5,57","25,1","25,1","14,0",50,20,0,0
365,"12,19","6,10","25,4","25,1","13,8",50,20,0,0
366,"13,26","6,63","25,4","25,4","13,9",50,20,0,0
367,"13,26","6,63","25,4","25,6","14,0",50,20,0,0
368,"12,19","6,10","25,8","25,4","13,9",50,30,0,0
369,"12,19","6,10","25,6","25,4","13,9",50,30,0,0
370,"12,19","6,10","25,6","25,6","14,1",50,30,0,0
371,"12,19","6,10","25,6","25,6","13,9",50,30,0,0
372,"12,19","6,10","25,6","25,6","13,9",50,30,0,0
373,"12,19","6,10","25,6","25,6","14,0",50,30,0,0
374,"12,19","6,10","25,6","25,8","13,9",50,30,0,0
375,"13,26","6,63","25,8","25,8","13,8",50,30,0,0
376,"13,26","6,63","26,1","25,8","14,0",50,30,0,0
377,"13,26","6,63","25,8","25,8","14,0",50,30,0,0
378,"13,26","6,63","25,8","26,1","13,8",50,30,0,0
379,"13,26","6,63","26,1","25,6","14,2",50,30,0,0
380,"13,26","6,63","26,1","26,1","14,1",50,30,0,0
381,"13,26","6,63","26,1","26,3","13,9",50,30,0,0
382,"13,26","6,63","26,3","26,1","13,9",50,30,0,0
383,"13,26","6,63","26,3","25,4","14,0",50,30,0,0
384,"13,26","6,63","26,1","26,1","13,8",50,30,0,0
385,"17,57","8,79","26,1","26,3","14,0",50,30,0,0
386,"13,26","6,63","26,3","25,8","14,0",50,30,0,0
387,"14,33","7,17","26,5","25,8","13,8",50,30,0,0
388,"13,26","6,63","25,6","26,3","14,0",50,30,0,0
389,"13,26","6,63","26,3","26,3","14,1",50,30,0,0
390,"15,41","7,71","26,3","26,3","13,6",50,30,0,50
391,"15,41","7,71","26,3","26,3","13,7",50,30,0,50
392,"15,41","7,71","26,3","26,5","13,6",50,30,0,50
393,"15,41","7,71","26,5","26,3","13,6",50,30,0,50
394,"15,41","7,71","26,3","26,3","13,7",50,30,0,50
395,"15,41","7,71","26,5","26,1","13,6",50,30,0,50
396,"15,41","7,71","26,5","26,3","13,8",50,30,0,50
397,"9,02","4,51","26,5","26,5","13,7",50,30,0,50
398,"15,41","7,71","26,5","26,5","13,6",50,30,0,50
399,"9,02","4,51","26,3","26,5","13,6",50,30,0,50
400,"15,41","7,71","26,7","26,5","14,0",50,30,0,0
401,"15,41","7,71","27,0","26,7","13,7",50,30,0,50
402,"15,41","7,71","26,7","26,7","13,7",50,30,0,50
403,"15,41","7,71","26,7","26,7","13,7",50,30,0,50
404,"15,41","7,71","26,5","27,0","13,9",50,30,0,50
405,"15,41","7,71","26,7","27,4","13,6",50,30,0,50
406,"15,41","7,71","27,2","26,7","13,7",50,30,0,50
407,"16,48","8,24","27,0","26,7","13,7",50,30,0,50
408,"15,41","7,71","27,0","26,7","13,6",50,30,0,50
409,"16,48","8,24","27,0","27,0","13,7",50,30,0,50
410,"16,48","8,24","27,0","27,0","13,9",50,30,0,50
411,"15,41","7,71","27,0","27,0","14,0",50,30,0,0
412,"14,33","7,17","26,7","27,0","13,6",50,30,0,50
413,"16,48","8,24","26,7","27,0","13,8",50,30,0,50
414,"16,48","8,24","27,2","27,2","13,7",50,30,0,50
415,"16,48","8,24","28,9","27,0","13,6",50,30,0,50
416,"16,48","8,24","27,2","27,0","13,9",50,30,0,50
417,"16,48","8,24","27,0","27,2","13,7",50,30,0,50
418,"17,57","8,79","27,2","27,4","13,6",50,30,0,50
419,"16,48","8,24","27,2","27,2","13,7",50,30,0,50
420,"17,57","8,79","27,2","27,2","13,9",50,30,0,50
421,"17,57","8,79","27,0","27,2","13,6",50,30,0,50
422,"16,48","8,24","27,4","26,7","13,8",50,30,0,0
423,"17,57","8,79","27,2","27,0","13,9",50,30,0,50
424,"18,66","9,33","27,4","27,4","13,8",50,30,0,50
425,"17,57","8,79","27,4","27,4","13,7",50,30,0,50
426,"17,57","8,79","27,2","27,4","14,0",50,30,0,50
427,"19,75","9,88","27,4","27,6","13,8",50,30,0,50
428,"18,66","9,33","27,4","27,6","13,7",50,30,0,50
429,"18,66","9,33","27,4","27,4","13,9",50,30,0,50
430,"18,66","9,33","27,4","27,4","13,9",50,30,0,50
431,"18,66","9,33","27,6","27,4","13,7",50,30,0,50
432,"18,66","9,33","27,6","28,9","13,7",50,30,0,50
433,"18,66","9,33","28,1","27,6","14,0",50,30,0,0
434,"18,66","9,33","27,6","27,8","14,0",50,20,0,0
435,"18,66","9,33","27,6","27,6","13,8",50,20,0,0
436,"18,66","9,33","27,4","27,8","13,9",50,20,0,0
437,"18,66","9,33","27,8","27,8","14,0",50,20,0,0
438,"19,75","9,88","27,6","28,3","13,8",50,20,0,0
439,"19,75","9,88","27,8","27,8","13,7",50,20,0,50
440,"18,66","9,33","27,8","27,8","13,8",50,20,0,50
441,"19,75","9,88","28,1","27,6","13,6",50,20,0,50
442,"20,84","10,42","28,1","27,8","13,7",50,20,0,50
443,"20,84","10,42","28,1","27,8","13,7",50,20,0,50
444,"20,84","10,42","28,5","27,8","13,6",50,20,0,50
445,"20,84","10,42","28,1","27,8","13,8",50,20,0,50
446,"20,84","10,42","28,1","28,1","13,7",50,20,0,50
447,"20,84","10,42","28,5","27,6","13,6",50,20,0,50
448,"20,84","10,42","27,8","28,1","13,7",50,20,0,50
